Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform,Discount,Discount Percentage,Price Per Unit(Kg/L)
161, Nature Day Jeera Sparkling Fruit Drink 600 ml ,60.0,30.0,,,NATURE DAY,600.0,ml,1,Success,JoiMart,30.0,50.0,50.0
162," Nescafe Gold Imported, 200 Gm ",1168.75,800.0, Imported ,,NESCAFE,200.0,gm,1,Success,JoiMart,368.75,31.55,4000.0
163, Wagh Bakri Navchetan| Tea| Premium Tea| 250 Gm Each| Pack of 4| 1 Kg + Green Ilayachi 25g | ,450.0,445.0,,,WAGH BAKRI,250.0,gm,4,Success,JoiMart,5.0,1.11,1780.0
164, Taj Mahal Tea Bags 100 pcs ,220.0,198.0,,,TAJ MAHAL,100.0,pcs,1,Success,JoiMart,22.0,10.0,1.98
165, Paper Boat Aam Panna 200 ml ,35.0,23.0,,,PAPER BOAT,200.0,ml,1,Success,JoiMart,12.0,34.29,115.0
166, PediaSure Chocolate Drink Powder 1 kg ,1785.0,1606.0,,,PEDIASURE,1.0,kg,1,Success,JoiMart,179.0,10.03,1606.0
167, Society Elaichi Adrak Chai | Society Tea | Ginger & Cardamom | Refreshing & Tasteful | 250 g | Pack of 1 ,170.0,170.0,,,SOCIETY,250.0,g,1,Success,JoiMart,0.0,0.0,680.0
168, Dukes Club Soda 750 ml ,20.0,18.0,,,DUKES,750.0,ml,1,Success,JoiMart,2.0,10.0,24.0
169, MOGU MOGU Multi Flavour Mix Fruit Juice with 25% NATA De Coco 300ML - Pack of 6 ,420.0,420.0,,,MOGU,300.0,ml,6,Success,JoiMart,0.0,0.0,1400.0
170, Real Fruit Power Masala Guava Juice 1 L ,140.0,70.0,,,REAL,1.0,l,1,Success,JoiMart,70.0,50.0,70.0
171, Organic India Classic Tulsi Green Tea Bags 1.74 g (25 pcs) ,215.0,161.0,,,ORGANIC INDIA,1.74,g,1,Success,JoiMart,54.0,25.12,92528.74
