,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Converted_Quantity,Numeric_Part
184,184,Coconad - Pure Coconut Oil,Klf ,185.0,175.75,9.25,5.0,1 L ,1 L ,1000.0,1000.0
185,185,Organic - Maida,BB Royal,170.0,116.0,54.0,31.76,2x1 kg - (Multipack),2x1 kg ,"(2.0, 'kg')",2.0
186,186,Coriander Powder,Tata Sampann,155.0,131.75,23.25,15.0,500 g ,500 g ,500.0,500.0
187,187,Rice/Akki - Jeera,India Gate,135.0,114.07,20.930000000000007,15.5,1 kg ,1 kg ,1000.0,1000.0
188,188,Mustard Oil,Patanjali,145.0,145.0,0.0,0.0,1 L - Bottle,1 L ,1000.0,1000.0
189,189,Sundrop Super Lite Advanced - Sunflower Oil Pouch,Sundrop,180.0,180.0,0.0,0.0,1 L - Pouch,1 L ,1000.0,1000.0
190,190,Roasted Sooji/Rava,BB Royal,40.0,30.0,10.0,25.0,500 g - Pouch,500 g ,500.0,500.0
191,191,Basmati Rice - Rozana Premium,BB Royal,1150.0,874.95,275.04999999999995,23.92,2x5 Kg - Multipack,2x5 Kg ,"(10.0, 'kg')",10.0
192,192,Organic - Chia Seeds,BB Royal,205.0,99.0,106.0,51.71,200 g ,200 g ,200.0,200.0
193,193,Khus Khus/Posta Dana,BB Royal,2000.0,1197.0,803.0,40.15,500 g ,500 g ,500.0,500.0
194,194,Basmati Rice/Basmati Akki - Biryani,Daawat,1170.0,1011.16,158.84000000000003,13.58,5 kg - Bag,5 kg ,5000.0,5000.0
195,195,"Masoor Dal/Mysore Bele - Whole, Unpolished",Tata Sampann,159.0,154.23,4.77000000000001,3.0,1 kg - Pouch,1 kg ,1000.0,1000.0
