,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
293,Ghee/Tuppa,Milky Mist,4.2,₹375,₹450,500 ml - Pet Jar
294,"Multigrain Atta - 7 Grains, High Fibre Flour, High Protein Atta",Pillsbury,4,₹580,₹734,2 x 5 kg - Multipack
295,Premium Natural Californian Almonds,Happilo,4.1,₹421,₹550,2x200 g - Multipack
296,Iodized Crystal Salt/Uppu,Aashirvaad,4.1,₹19.8,₹22,1 kg
297,"Dry Dates/Kharjura - Chuwara, Kharik",BB Royal,0,₹44,₹80,100 g - Pouch
298,Powder - Cumin,MTR,4.1,₹71.25,₹75,100 g - Pouch
299,Cardamom/Elaichi - Green,BB Royal,3.9,₹228,₹250,50 g
300,Brown Chana,BB Super Saver,4,₹90,₹130,1 kg
301,Sona Masoori Steam Rice/Akki,Super Saver,0,₹62,₹70,1 kg
302,Active - Goodness Of Olive Oil,Oleev,4.2,₹1217,₹1395,5 L - Jar
303,Rice Bran Oil Physically Refined,Freedom,4.1,₹119.87,₹143,1 L - Pouch
304,Organic - Ragi Whole/Finger Millet,BB Royal,4,₹134,₹160,2x1 kg - Multipack
