,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
160,160,Tea,Taj Mahal,80.0,80.0,0.0,0.0,25 pcs ,25 pcs ,25 pcs ,25.0,3.2
161,161,Fruit Power Juice - Apple,Real,345.0,308.46,36.54000000000002,10.59,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.10282
162,162,"Cold Extracted Juice - Basics, Sugarcane",Raw Pressery,400.0,380.0,20.0,5.0,5x250 ml - Multipack,5*250 ml ,1250 ml,1250.0,0.304
163,163,Elaichi Flavoured Tea,Tata Tea Chakra Gold,240.0,144.0,96.0,40.0,250 g ,250 g ,250 g ,250.0,0.576
164,164,Lite Health & Nutrition Drink - Badam Flavour,Horlicks,349.0,329.0,20.0,5.73,450 g - Carton,450 g ,450 g ,450.0,0.7311111111111112
165,165,Natural Mountain Water - Vedica,Bisleri ,360.0,360.0,0.0,0.0,6x1 L - Multi Pack,6*1 L ,6 L,6000.0,0.06
166,166,100% Tender Coconut Water/Nariyal Pani,Real Activ,660.0,552.0,108.0,16.36,12 x 200 ml - Multipack,12*200 ml ,2400 ml,2400.0,0.23
167,167,"Nutritional Supplement - High Protein, Vanilla Flavour",Protinex ,1350.0,1200.0,150.0,11.11,2x400 g - (Multipack),2*400 g ,800 g,800.0,1.5
168,168,"Lush Lychee Juice - Enriched With Vitamin D, No GMOs",Paperboat Swing,120.0,114.0,6.0,5.0,3x600 ml - Multipack,3*600 ml ,1800 ml,1800.0,0.06333333333333334
169,169,"Instant Coffee Powder - Chicory Mix, Shade-Grown, No Preservatives",iD,190.0,150.9,39.099999999999994,20.58,2 x 50 g - Multipack,2*50 g ,100 g,100.0,1.5090000000000001
