,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
274,"Chocos - Variety Pack, With Protein & Fibre",₹186,₹210,Kelloggs,3x175 g - Multipack
275,Soupy Noodles - Mast Masala,₹60,₹60,Knorr,280 g 
276,Peanut & Caramel Filled Chocolate Bar,₹288.51,₹320,Cadbury Fuse,8x45 g - Multipack
277,"0% Added Sugar Millet Muesli, High Protein, Rich In Fibre",₹343.85,₹529,Tata Soulfull,700 g 
278,Cranberry Dark Chocolate Bar,₹242.55,₹330,Cadbury Bournville,3 x 80 g - Multipack
279,"Original Special K - Low Fat, High In B Group Vitamins, Source Of Protein & Fibre, Breakfast Cereals",₹447.25,₹470,Kelloggs,935 g 
280,Farmlite 5 Grain Digestive Biscuit - High Fibre,₹120.12,₹240,Sunfeast,800 g 
281,Organic - Apple Cider Vinegar,₹2108,₹2480,Bragg,2x946 ml - Multipack
282,Strawberry Wafers,₹50,₹100,Britannia Treat,2x60 g - Multipack
283,Good Day Chunkies Chocolate Cookies,₹60,₹80,Britannia,120 g 
284,"Flat Cut Potato Chips - Original Style, Salt Sprinkled, Perfect For Snacks",₹37.5,₹50,Bingo,90 g 
285,Polo - The Mint With The Hole,₹5,₹5,Nestle ,12 g - Pouch
286,Classic Chocolate,₹20,₹20,Nestle ,34 g - Pouch
287,Potato Chips - Sizzlin Hot,₹20,₹20,Lays,40 g 
