,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
251,Fruit Power Juice - Alphonso Mango Nectar,₹196.98,₹300,Real,2 x 1 L - Multipack
252,Diabetes Care Specialized Nutrition Drink - Chocolate Flavour,₹540,₹540,Ensure,200 g 
253,"Royale Chocolate Nutritious Health Drink - Vitamin C & A Supports Kids Immune, Clinically Proven For 2X Faster Growth Formula",₹93,₹124,Complan,200 g - Jar
254,Leaf Tea - Navchetan,₹181,₹200,Wagh Bakri,1 Kg 
255,Soft Drink - Orange Flavoured,₹222,₹240,Fanta,6x300 ml - Multipack
256,Long Leaf - Lemon Green Tea,₹142.6,₹155,Tetley,100 g 
257,Swing Juicier Drink - Slurpy Mango,₹60,₹60,Paper Boat,6x150 ml - Multipack
258,Hot Brew Coffee - Dark Roast (20 Bags x 15 g each),₹700,₹700,Sleepy Owl,300 g - Multipack
259,"Instant Premix Tea - 3 In 1 Combo Pack With Masala,Ginger & Elaichi",₹150,₹160,Wagh Bakri,168 g - (12 Sachets x 14g Each)
260,Zero Sparkling Water - Cumin,₹114,₹120,Paper Boat,2 x 600 ml - Multipack
261,"Sparkling Coffee - Dark Roast, Carbonated Drink, Zero Sugar & Zero Calories",₹171,₹180,Paper Boat,3 x 600 ml - (Multipack)
262,High Protein Health Drink Chocolate,₹815,₹815,Ensure,400 g - Box
263,"Soda - Fizz, Jeera Masala",₹95,₹95,Bindu,2 L - Bottle
264,Wheatgrass Juice - Helps Detoxify The Liver & Cleanses Digestive System,₹449.1,₹499,Kapiva,1 L 
265,Fine Long Leaf Tea,₹299.2,₹340,Tata Tea Gold Darjeeling,200 g - Box
266,Aam Panna Mango Drink,₹80,₹80,Paper Boat,4x150 ml - Multipack
267,Long Leaf Original Green Tea - Detoxifies Body,₹375,₹500,Tetley,500 g 
268,"Street Chai Of India - Mumbai Cutting Chai, Tasting Notes Of Ginger & Lemongrass",₹116,₹145,Tata Tea Premium,250 g 
269,"SipNDigest - With Green Tea, Ginger, Tulsi & Rock Salt, Spiced Green Tea Bags",₹342,₹380,Lipton,50 pcs - (50 Bags x 1.8 g Each)
270,Intense Café Ready To Drink Coffee & Milk Beverage - Cappuccino Flavour,₹270,₹270,Nescafe ,6x180 ml - Multipack
271,Swing Juicier Drink - Tasty Apple,₹60,₹60,Paper Boat,6x150 ml - Multipack
272,Original Adult Health & Nutritional Drink Mix For Recovery With High Protein,₹1160,₹1310,Protinex ,750 g - Carton
273,Apple Juice Based Drink,₹90,₹90,Appy Fizz,6 x 175 ml - (Multipack)
